Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Componentes del salario bruto anual;Año de referencia;Total
Mujeres;Total Nacional;06 Cantabria;Pagos extraordinarios;2022;1.897,16
Mujeres;Total Nacional;06 Cantabria;Valoración en especie;2022;66,57
Mujeres;Total Nacional;06 Cantabria;Salario ordinario;2022;20.600,38
Mujeres;Total Nacional;07 Castilla y León;Salario bruto;2022;21.773,27
Mujeres;Total Nacional;07 Castilla y León;Pagos extraordinarios;2022;2.059,22
Mujeres;Total Nacional;07 Castilla y León;Valoración en especie;2022;59,59
Mujeres;Total Nacional;07 Castilla y León;Salario ordinario;2022;19.654,46
Mujeres;Total Nacional;08 Castilla - La Mancha;Salario bruto;2022;21.312,65
Mujeres;Total Nacional;08 Castilla - La Mancha;Pagos extraordinarios;2022;1.623,20
Mujeres;Total Nacional;08 Castilla - La Mancha;Valoración en especie;2022;45,09
Mujeres;Total Nacional;08 Castilla - La Mancha;Salario ordinario;2022;19.644,36
Mujeres;Total Nacional;09 Cataluña;Salario bruto;2022;25.659,03
Mujeres;Total Nacional;09 Cataluña;Pagos extraordinarios;2022;2.540,88
Mujeres;Total Nacional;09 Cataluña;Valoración en especie;2022;132,22
Mujeres;Total Nacional;09 Cataluña;Salario ordinario;2022;22.985,93
Mujeres;Total Nacional;10 Comunitat Valenciana;Salario bruto;2022;22.135,35
Mujeres;Total Nacional;10 Comunitat Valenciana;Pagos extraordinarios;2022;2.012,13
Mujeres;Total Nacional;10 Comunitat Valenciana;Valoración en especie;2022;62,44
Mujeres;Total Nacional;10 Comunitat Valenciana;Salario ordinario;2022;20.060,78
Mujeres;Total Nacional;11 Extremadura;Salario bruto;2022;20.637,14
Mujeres;Total Nacional;11 Extremadura;Pagos extraordinarios;2022;1.301,67
Mujeres;Total Nacional;11 Extremadura;Valoración en especie;2022;32,51
Mujeres;Total Nacional;11 Extremadura;Salario ordinario;2022;19.302,96
Mujeres;Total Nacional;12 Galicia;Salario bruto;2022;21.912,75
Mujeres;Total Nacional;12 Galicia;Pagos extraordinarios;2022;1.937,49
Mujeres;Total Nacional;12 Galicia;Valoración en especie;2022;48,70
Mujeres;Total Nacional;12 Galicia;Salario ordinario;2022;19.926,56
Mujeres;Total Nacional;13 Madrid, Comunidad de;Salario bruto;2022;28.123,47
Mujeres;Total Nacional;13 Madrid, Comunidad de;Pagos extraordinarios;2022;2.897,31
Mujeres;Total Nacional;13 Madrid, Comunidad de;Valoración en especie;2022;243,22
Mujeres;Total Nacional;13 Madrid, Comunidad de;Salario ordinario;2022;24.982,94
Mujeres;Total Nacional;14 Murcia, Región de;Salario bruto;2022;20.956,37
Mujeres;Total Nacional;14 Murcia, Región de;Pagos extraordinarios;2022;2.068,30
Mujeres;Total Nacional;14 Murcia, Región de;Valoración en especie;2022;43,10
Mujeres;Total Nacional;14 Murcia, Región de;Salario ordinario;2022;18.844,97
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Salario bruto;2022;26.033,30
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Pagos extraordinarios;2022;2.892,91
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Valoración en especie;2022;61,16
Mujeres;Total Nacional;15 Navarra, Comunidad Foral de;Salario ordinario;2022;23.079,23
Mujeres;Total Nacional;16 País Vasco;Salario bruto;2022;29.314,69
Mujeres;Total Nacional;16 País Vasco;Pagos extraordinarios;2022;2.721,73
Mujeres;Total Nacional;16 País Vasco;Valoración en especie;2022;131,65
Mujeres;Total Nacional;16 País Vasco;Salario ordinario;2022;26.461,31
Mujeres;Total Nacional;17 Rioja, La;Salario bruto;2022;22.264,39
Mujeres;Total Nacional;17 Rioja, La;Pagos extraordinarios;2022;2.022,05
Mujeres;Total Nacional;17 Rioja, La;Valoración en especie;2022;63,52
Mujeres;Total Nacional;17 Rioja, La;Salario ordinario;2022;20.178,82
Mujeres;Ciudades de Ceuta y Melilla;;Salario bruto;2022;26.535,81
Mujeres;Ciudades de Ceuta y Melilla;;Pagos extraordinarios;2022;1.935,73
Mujeres;Ciudades de Ceuta y Melilla;;Valoración en especie;2022;45,06
Mujeres;Ciudades de Ceuta y Melilla;;Salario ordinario;2022;24.555,02
Hombres;Total Nacional;;Salario bruto;2022;29.381,84
Hombres;Total Nacional;;Pagos extraordinarios;2022;2.980,41
Hombres;Total Nacional;;Valoración en especie;2022;182,51
Hombres;Total Nacional;;Salario ordinario;2022;26.218,92
Hombres;Total Nacional;01 Andalucía;Salario bruto;2022;26.159,02
Hombres;Total Nacional;01 Andalucía;Pagos extraordinarios;2022;2.225,72
Hombres;Total Nacional;01 Andalucía;Valoración en especie;2022;103,40
Hombres;Total Nacional;01 Andalucía;Salario ordinario;2022;23.829,90
Hombres;Total Nacional;02 Aragón;Salario bruto;2022;28.789,96
Hombres;Total Nacional;02 Aragón;Pagos extraordinarios;2022;2.762,06
Hombres;Total Nacional;02 Aragón;Valoración en especie;2022;126,77
Hombres;Total Nacional;02 Aragón;Salario ordinario;2022;25.901,13
Hombres;Total Nacional;03 Asturias, Principado de;Salario bruto;2022;29.573,74
Hombres;Total Nacional;03 Asturias, Principado de;Pagos extraordinarios;2022;3.665,01
Hombres;Total Nacional;03 Asturias, Principado de;Valoración en especie;2022;174,04
Hombres;Total Nacional;03 Asturias, Principado de;Salario ordinario;2022;25.734,69
Hombres;Total Nacional;04 Balears, Illes;Salario bruto;2022;28.155,99
Hombres;Total Nacional;04 Balears, Illes;Pagos extraordinarios;2022;2.497,62
Hombres;Total Nacional;04 Balears, Illes;Valoración en especie;2022;80,74
Hombres;Total Nacional;04 Balears, Illes;Salario ordinario;2022;25.577,63
Hombres;Total Nacional;05 Canarias;Salario bruto;2022;23.588,70
Hombres;Total Nacional;05 Canarias;Pagos extraordinarios;2022;1.814,70
Hombres;Total Nacional;05 Canarias;Valoración en especie;2022;82,31
Hombres;Total Nacional;05 Canarias;Salario ordinario;2022;21.691,69
Hombres;Total Nacional;06 Cantabria;Salario bruto;2022;27.820,83
Hombres;Total Nacional;06 Cantabria;Pagos extraordinarios;2022;2.823,01
Hombres;Total Nacional;06 Cantabria;Valoración en especie;2022;87,47
Hombres;Total Nacional;06 Cantabria;Salario ordinario;2022;24.910,35
Hombres;Total Nacional;07 Castilla y León;Salario bruto;2022;26.548,08
Hombres;Total Nacional;07 Castilla y León;Pagos extraordinarios;2022;2.882,30
Hombres;Total Nacional;07 Castilla y León;Valoración en especie;2022;113,03
Hombres;Total Nacional;07 Castilla y León;Salario ordinario;2022;23.552,75
Hombres;Total Nacional;08 Castilla - La Mancha;Salario bruto;2022;25.813,23
Hombres;Total Nacional;08 Castilla - La Mancha;Pagos extraordinarios;2022;2.367,32
Hombres;Total Nacional;08 Castilla - La Mancha;Valoración en especie;2022;120,24
Hombres;Total Nacional;08 Castilla - La Mancha;Salario ordinario;2022;23.325,67
Hombres;Total Nacional;09 Cataluña;Salario bruto;2022;31.878,42
Hombres;Total Nacional;09 Cataluña;Pagos extraordinarios;2022;3.316,42
Hombres;Total Nacional;09 Cataluña;Valoración en especie;2022;240,10
Hombres;Total Nacional;09 Cataluña;Salario ordinario;2022;28.321,90
Hombres;Total Nacional;10 Comunitat Valenciana;Salario bruto;2022;26.683,85
Hombres;Total Nacional;10 Comunitat Valenciana;Pagos extraordinarios;2022;2.544,46
Hombres;Total Nacional;10 Comunitat Valenciana;Valoración en especie;2022;119,35
Hombres;Total Nacional;10 Comunitat Valenciana;Salario ordinario;2022;24.020,04
Hombres;Total Nacional;11 Extremadura;Salario bruto;2022;23.170,92
Hombres;Total Nacional;11 Extremadura;Pagos extraordinarios;2022;1.813,55
Hombres;Total Nacional;11 Extremadura;Valoración en especie;2022;60,97
Hombres;Total Nacional;11 Extremadura;Salario ordinario;2022;21.296,40
Hombres;Total Nacional;12 Galicia;Salario bruto;2022;26.626,89
Hombres;Total Nacional;12 Galicia;Pagos extraordinarios;2022;2.671,87
Hombres;Total Nacional;12 Galicia;Valoración en especie;2022;86,08
