Sexo;Divisiones de la CNAE-09;Componentes del salario bruto anual;Periodo;Total
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Valoración en especie;2022;123,03
Ambos sexos;37 Recogida y tratamiento de aguas residuales;Salario ordinario;2022;24.941,85
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Salario bruto;2022;28.567,38
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Pagos extraordinarios;2022;3.762,31
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Valoración en especie;2022;45,75
Ambos sexos;38 Recogida, tratamiento y eliminación de residuos, valorización;Salario ordinario;2022;24.759,32
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Salario bruto;2022;-24.160,09
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Pagos extraordinarios;2022;-2.789,87
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Valoración en especie;2022;-136,64
Ambos sexos;39 Actividades de descontaminación y otros servicios de gestión de residuos;Salario ordinario;2022;-21.233,58
Ambos sexos;41 Construcción de edificios;Salario bruto;2022;25.418,13
Ambos sexos;41 Construcción de edificios;Pagos extraordinarios;2022;2.769,47
Ambos sexos;41 Construcción de edificios;Valoración en especie;2022;54,42
Ambos sexos;41 Construcción de edificios;Salario ordinario;2022;22.594,24
Ambos sexos;42 Ingeniería civil;Salario bruto;2022;30.626,69
Ambos sexos;42 Ingeniería civil;Pagos extraordinarios;2022;3.372,54
Ambos sexos;42 Ingeniería civil;Valoración en especie;2022;103,37
Ambos sexos;42 Ingeniería civil;Salario ordinario;2022;27.150,78
Ambos sexos;43 Actividades de construcción especializada;Salario bruto;2022;24.419,1
Ambos sexos;43 Actividades de construcción especializada;Pagos extraordinarios;2022;2.165,81
Ambos sexos;43 Actividades de construcción especializada;Valoración en especie;2022;83,37
Ambos sexos;43 Actividades de construcción especializada;Salario ordinario;2022;22.169,92
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Salario bruto;2022;24.693,81
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Pagos extraordinarios;2022;2.822,52
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Valoración en especie;2022;110,51
Ambos sexos;45 Venta y reparación de vehículos de motor y motocicletas;Salario ordinario;2022;21.760,78
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Salario bruto;2022;28.560,47
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Pagos extraordinarios;2022;3.176,42
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Valoración en especie;2022;371,62
Ambos sexos;46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Salario ordinario;2022;25.012,43
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Salario bruto;2022;19.729,2
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Pagos extraordinarios;2022;1.906
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Valoración en especie;2022;122,13
Ambos sexos;47 Comercio al por menor, excepto de vehículos de motor y motocicletas;Salario ordinario;2022;17.701,07
Ambos sexos;49 Transporte terrestre y por tubería;Salario bruto;2022;25.422,7
Ambos sexos;49 Transporte terrestre y por tubería;Pagos extraordinarios;2022;2.486,88
Ambos sexos;49 Transporte terrestre y por tubería;Valoración en especie;2022;178,19
